,SD_rt,accuracy,auto_participant_id,average_switch_rt,block,blueprint_id,changed,check_times,end_time,first_switch_rt,index,internal_node_id,mean_rt,median_rt,occurence,participant_age,participant_ans,participant_gender,participant_id,start_time,stimulus_off,switch_type,target_ans,time_elapsed,trial_index,trial_type,type,view_history
0,416.31138929491743,1.0,1152.5099999271333_59120,1463.9033333333318,1.0,,0,1.0,,871.005000000001,0,,1499.0833333333328,1572.489999999998,0.0,20,1.0,,6538251.0,,,1463.0,1.0,27666,5,,ts-trial-digit-span,
0,460.73186952331173,1.0,1152.5099999271333_59120,1330.363333333332,22.0,,1,,,935.0350000000036,6,,1086.2827777777793,935.0350000000036,1.0,20,1.0,,6538251.0,,,NONE-DS,1.0,165285,47,,ts-trial-digit-span,
1,409.4683401409409,1.0,1152.5099999271333_59120,2425.399999999999,7.0,,1,,,2279.4199999999983,0,,2031.6494444444445,2104.895000000004,1.0,20,0.0,,6538251.0,,,DS-SR,0.0,63973,17,,ts-trial-spatial-rotation,
2,351.9908466056577,,1152.5099999271333_59120,2104.965000000006,16.0,,1,,,1802.3800000000049,0,,2344.5041666666752,2288.7400000000052,1.0,20,2.0,,6538251.0,,,SR-SS,0.0,126506,35,,ts-trial-spatial-span,
0,370.1676608308764,1.0,1152.5099999271333_59120,977.4066666666768,46.0,,1,,,839.7000000000116,15,,1061.1166666666654,933.9899999999907,2.0,20,1.0,,6538251.0,,,NONE-DS,1.0,317021,95,,ts-trial-digit-span,
1,550.2239777914649,1.0,1152.5099999271333_59120,2604.6649999999886,31.0,,1,,,2491.239999999991,9,,2140.748333333327,2194.262499999997,2.0,20,2.0,,6538251.0,,,DS-SR,2.0,213834,65,,ts-trial-spatial-rotation,
2,608.2833344464428,1.0,1152.5099999271333_59120,1951.6016666666837,37.0,,1,,,1564.210000000021,6,,2023.9205555555527,2096.3099999999977,2.0,20,2.0,,6538251.0,,,SR-SS,2.0,257332,77,,ts-trial-spatial-span,
0,236.10479328926024,1.0,1152.5099999271333_59120,1167.7116666666698,61.0,,1,,,1166.460000000021,24,,1132.8091666666733,1135.0275000000256,3.0,20,2.0,,6538251.0,,,NONE-DS,2.0,408470,125,,ts-trial-digit-span,
1,248.36583729786452,,1152.5099999271333_59120,1231.338333333338,55.0,,1,,,1628.765000000014,15,,1202.1216666666635,1138.5574999999953,3.0,20,2.0,,6538251.0,,,DS-SR,1.0,365697,113,,ts-trial-spatial-rotation,
2,565.623240255733,,1152.5099999271333_59120,1588.2033333333482,67.0,,1,,,1533.6300000000049,15,,1784.9756249999991,1657.6199999999953,3.0,20,0.0,,6538251.0,,,SR-SS,2.0,445251,137,,ts-trial-spatial-span,
0,233.61906277900908,1.0,1152.5099999271333_59120,931.890000000014,75.0,,1,,,1014.2300000000397,30,,1067.849999999996,1006.0800000000163,4.0,20,0.0,,6538251.0,,,NONE-DS,0.0,500934,153,,ts-trial-digit-span,
1,250.84694458472993,1.0,1152.5099999271333_59120,1463.8099999999783,84.0,,1,,,1119.4649999999674,21,,1427.1275000000023,1441.8074999999953,4.0,20,1.0,,6538251.0,,,DS-SR,1.0,551288,171,,ts-trial-spatial-rotation,
2,514.6425586159904,,1152.5099999271333_59120,1457.0183333333505,98.0,,1,,,1517.390000000014,23,,1686.9393750000017,1773.8624999999884,4.0,20,1.0,,6538251.0,,,SR-SS,0.0,637582,200,,ts-trial-spatial-span,
0,300.76011798383934,1.0,1152.5099999271333_59120,1240.7466666667024,90.0,,1,,,1731.1550000000282,39,,1261.3262500000128,1261.4249999999884,5.0,20,1.0,,6538251.0,,,NONE-DS,1.0,590984,183,,ts-trial-digit-span,
1,441.0911367226061,,1152.5099999271333_59120,1604.7833333333256,106.0,,1,,,1461.75,27,,1648.4757142857084,1706.2199999999718,5.0,20,0.0,,6538251.0,,,DS-SR,1.0,691968,216,,ts-trial-spatial-rotation,
2,315.80297471288657,,1152.5099999271333_59120,1536.1566666666574,113.0,,1,,,1698.0500000000463,31,,1386.6374999999923,1455.2099999999627,5.0,20,0.0,,6538251.0,,,SR-SS,2.0,742760,230,,ts-trial-spatial-span,
0,312.04752309128753,1.0,1152.5099999271333_59120,1354.9933333333272,125.0,,1,,,1863.890000000014,47,,1182.4256250000035,1147.922499999986,6.0,20,2.0,,6538251.0,,,NONE-DS,2.0,824868,254,,ts-trial-digit-span,
1,431.0248785095365,1.0,1152.5099999271333_59120,1687.713333333338,119.0,,1,,,1584.3950000000186,34,,1829.6658333333326,1741.8325000000186,6.0,20,0.0,,6538251.0,,,DS-SR,0.0,786061,242,,ts-trial-spatial-rotation,
2,304.7558017690777,,1152.5099999271333_59120,1525.2133333333768,133.0,,1,,,1464.2850000000324,37,,1428.1107142857177,1368.420000000042,6.0,20,0.0,,6538251.0,,,SR-SS,2.0,873623,270,,ts-trial-spatial-span,
0,243.24340499554353,1.0,1152.5099999271333_59120,1094.0250000000622,162.0,,1,,,974.0500000000467,55,,1106.5321428571563,1150.810000000056,7.0,20,1.0,,6538251.0,,,NONE-DS,1.0,1075279,328,,ts-trial-digit-span,
1,542.6576113312178,1.0,1152.5099999271333_59120,1013.7550000000047,140.0,,1,,,1301.515000000014,40,,1183.4974999999977,1166.1875,7.0,20,0.0,,6538251.0,,,DS-SR,0.0,920584,284,,ts-trial-spatial-rotation,
2,486.9735766771062,,1152.5099999271333_59120,1308.0133333333458,148.0,,1,,,548.8449999999722,44,,1096.3256250000122,1153.6350000000093,7.0,20,1.0,,6538251.0,,,SR-SS,0.0,976071,300,,ts-trial-spatial-span,
0,228.21068675675357,1.0,1152.5099999271333_59120,1053.3199999999488,177.0,,1,,,998.435000000056,62,,1088.170000000042,1053.3199999999488,8.0,20,2.0,,6538251.0,,,NONE-DS,2.0,1170744,358,,ts-trial-digit-span,
1,466.4685704891594,,1152.5099999271333_59120,911.2316666666884,156.0,,1,,,425.6149999999907,48,,1175.409166666679,1169.212499999965,8.0,20,1.0,,6538251.0,,,DS-SR,0.0,1033230,316,,ts-trial-spatial-rotation,
2,576.8123549348063,,1152.5099999271333_59120,1354.2150000000065,169.0,,1,,,1840.5150000001306,52,,1519.6737499999872,1577.3950000000186,8.0,20,0.0,,6538251.0,,,SR-SS,2.0,1112761,342,,ts-trial-spatial-span,
0,159.8214933457552,1.0,1168.1700000001456_40690,1908.261666666668,1.0,,0,1.0,,1865.4199999999985,0,,1881.8968749999985,1880.5824999999968,0.0,20,1.0,,,,,SR-SS,1.0,76471,5,,ts-trial-digit-span,
0,437.890063756492,,1168.1700000001456_40690,1601.3216666666656,15.0,,1,,,1716.5800000000165,8,,1767.9233333333348,1759.4775000000081,1.0,20,0.0,,,,,NONE-DS,1.0,182072,39,,ts-trial-digit-span,
1,498.1556367957944,1.0,1168.1700000001456_40690,1747.8133333333342,21.0,,1,,,1334.2700000000184,0,,1856.482500000002,1821.7749999999942,1.0,20,0.0,,,,,DS-SR,0.0,218607,51,,ts-trial-spatial-rotation,
2,193.0924927075011,,1168.1700000001456_40690,1628.875,9.0,,1,,,1789.959999999992,0,,1678.0149999999994,1677.1274999999878,1.0,20,2.0,,,,,SR-SS,0.0,135085,25,,ts-trial-spatial-span,
