,index_raw,auto_participant_id,participant_age,participant_gender,type,trial_type,trial_index,time_start,participant_ans,target_ans,accuracy,response_time,changed_shifted,switch_type,occurence,first_switch_rt
1248,2,1152.5099999271333_59120,20.0,Female,ts-trial-digit-span,ts-trial,5.0,24162.275,1.0,1.0,1.0,871.005000000001,1.0,NONE-DS,1.0,
1249,3,1152.5099999271333_59120,20.0,Female,ts-trial-digit-span,ts-trial,7.0,29867.59,0.0,0.0,1.0,1697.5999999999985,0.0,none,1.0,
1250,4,1152.5099999271333_59120,20.0,Female,ts-trial-digit-span,ts-trial,9.0,35323.625,0.0,0.0,1.0,1823.104999999996,0.0,none,1.0,
1251,5,1152.5099999271333_59120,20.0,Female,ts-trial-digit-span,ts-trial,11.0,40588.15,1.0,1.0,1.0,1182.320000000007,0.0,none,1.0,
1252,6,1152.5099999271333_59120,20.0,Female,ts-trial-digit-span,ts-trial,13.0,45397.75,2.0,2.0,1.0,1447.3799999999974,0.0,none,1.0,
1253,7,1152.5099999271333_59120,20.0,Female,ts-trial-digit-span,ts-trial,15.0,50297.41,0.0,0.0,1.0,1973.0899999999965,0.0,none,1.0,
3686,2,1168.1700000001456_40690,20.0,Male,ts-trial-digit-span,ts-trial,5.0,72988.25,1.0,1.0,1.0,1865.4199999999983,1.0,NONE-DS,1.0,
3687,3,1168.1700000001456_40690,20.0,Male,ts-trial-digit-span,ts-trial,7.0,77983.62,0.0,0.0,1.0,2094.679999999993,0.0,none,1.0,
3688,4,1168.1700000001456_40690,20.0,Male,ts-trial-digit-span,ts-trial,9.0,82813.74,1.0,1.0,1.0,1764.6850000000122,0.0,none,1.0,
3689,5,1168.1700000001456_40690,20.0,Male,ts-trial-digit-span,ts-trial,11.0,88421.625,1.0,1.0,1.0,2105.6699999999983,0.0,none,1.0,
3690,6,1168.1700000001456_40690,20.0,Male,ts-trial-digit-span,ts-trial,13.0,93566.84,2.0,2.0,1.0,1907.1849999999977,0.0,none,1.0,
3691,7,1168.1700000001456_40690,20.0,Male,ts-trial-digit-span,ts-trial,15.0,98798.8,2.0,2.0,1.0,1782.0449999999983,0.0,none,1.0,
3692,8,1168.1700000001456_40690,20.0,Male,ts-trial-digit-span,ts-trial,17.0,103799.455,2.0,2.0,1.0,1895.7449999999953,0.0,none,1.0,
3693,9,1168.1700000001456_40690,20.0,Male,ts-trial-digit-span,ts-trial,19.0,109466.435,,0.0,,,0.0,none,1.0,
3694,10,1168.1700000001456_40690,20.0,Male,ts-trial-digit-span,ts-trial,21.0,115052.36,2.0,2.0,1.0,1639.7449999999953,0.0,none,1.0,
2633,2,1273.4650000929832_33389,22.0,female,ts-trial-digit-span,ts-trial,5.0,279052.02,1.0,1.0,1.0,2218.795000000042,1.0,NONE-DS,1.0,
2634,3,1273.4650000929832_33389,22.0,female,ts-trial-digit-span,ts-trial,7.0,284502.81,0.0,0.0,1.0,2358.3649999999907,0.0,none,1.0,
2635,4,1273.4650000929832_33389,22.0,female,ts-trial-digit-span,ts-trial,9.0,289832.44,2.0,2.0,1.0,1861.820000000007,0.0,none,1.0,
2636,5,1273.4650000929832_33389,22.0,female,ts-trial-digit-span,ts-trial,11.0,294699.435,1.0,1.0,1.0,1448.649999999965,0.0,none,1.0,
2637,6,1273.4650000929832_33389,22.0,female,ts-trial-digit-span,ts-trial,13.0,300022.595,0.0,0.0,1.0,1444.1500000000233,0.0,none,1.0,
2638,7,1273.4650000929832_33389,22.0,female,ts-trial-digit-span,ts-trial,15.0,305700.21,1.0,1.0,1.0,1581.5900000000256,0.0,none,1.0,
515,2,1718.75_45854,19.0,Female,ts-trial-digit-span,ts-trial,5.0,51823.17,1.0,1.0,1.0,2229.0699999999997,1.0,NONE-DS,1.0,
518,3,1718.75_45854,19.0,Female,ts-trial-digit-span,ts-trial,7.0,57584.31,2.0,2.0,1.0,2278.0,0.0,none,1.0,
520,4,1718.75_45854,19.0,Female,ts-trial-digit-span,ts-trial,9.0,62823.38,2.0,2.0,1.0,2285.689999999995,0.0,none,1.0,
523,5,1718.75_45854,19.0,Female,ts-trial-digit-span,ts-trial,11.0,67767.465,,1.0,,,0.0,none,1.0,
526,6,1718.75_45854,19.0,Female,ts-trial-digit-span,ts-trial,13.0,73119.21,1.0,1.0,1.0,1134.6600000000035,0.0,none,1.0,
529,7,1718.75_45854,19.0,Female,ts-trial-digit-span,ts-trial,15.0,78547.525,1.0,1.0,1.0,1260.5299999999988,0.0,none,1.0,
532,8,1718.75_45854,19.0,Female,ts-trial-digit-span,ts-trial,17.0,83721.22,1.0,1.0,1.0,1209.949999999997,0.0,none,1.0,
535,9,1718.75_45854,19.0,Female,ts-trial-digit-span,ts-trial,19.0,89083.64,0.0,0.0,1.0,1977.7799999999988,0.0,none,1.0,
4909,11,1830_2921,22.0,Male,ts-trial-digit-span,ts-trial,21.0,90848.0,2.0,2.0,1.0,1988.0,1.0,SR-DS,1.0,
4910,12,1830_2921,22.0,Male,ts-trial-digit-span,ts-trial,23.0,96250.0,,0.0,,,0.0,none,1.0,
4911,13,1830_2921,22.0,Male,ts-trial-digit-span,ts-trial,25.0,101574.0,2.0,2.0,1.0,1788.0,0.0,none,1.0,
4912,14,1830_2921,22.0,Male,ts-trial-digit-span,ts-trial,27.0,106373.0,2.0,2.0,1.0,1900.0,0.0,none,1.0,
4913,15,1830_2921,22.0,Male,ts-trial-digit-span,ts-trial,29.0,111983.0,1.0,1.0,1.0,794.0,0.0,none,1.0,
4914,16,1830_2921,22.0,Male,ts-trial-digit-span,ts-trial,31.0,117121.0,0.0,2.0,,1180.0,0.0,none,1.0,
828,10,1975.4950000206009_98708,24.0,Female,ts-trial-digit-span,ts-trial,19.0,179357.805,,1.0,,,1.0,SS-DS,1.0,
830,11,1975.4950000206009_98708,24.0,Female,ts-trial-digit-span,ts-trial,21.0,184631.995,2.0,2.0,1.0,1233.3500000000058,0.0,none,1.0,
832,12,1975.4950000206009_98708,24.0,Female,ts-trial-digit-span,ts-trial,23.0,190120.365,1.0,1.0,1.0,2015.0350000000035,0.0,none,1.0,
833,13,1975.4950000206009_98708,24.0,Female,ts-trial-digit-span,ts-trial,25.0,195608.12,1.0,1.0,1.0,2224.1849999999977,0.0,none,1.0,
835,14,1975.4950000206009_98708,24.0,Female,ts-trial-digit-span,ts-trial,27.0,200598.685,1.0,0.0,,1278.0650000000023,0.0,none,1.0,
837,15,1975.4950000206009_98708,24.0,Female,ts-trial-digit-span,ts-trial,29.0,206103.195,2.0,2.0,1.0,1481.765000000014,0.0,none,1.0,
839,16,1975.4950000206009_98708,24.0,Female,ts-trial-digit-span,ts-trial,31.0,211808.245,0.0,0.0,1.0,2726.679999999993,0.0,none,1.0,
842,17,1975.4950000206009_98708,24.0,Female,ts-trial-digit-span,ts-trial,33.0,216888.78,2.0,2.0,1.0,1372.8099999999977,0.0,none,1.0,
3476,2,217_86855,20.0,Female,ts-trial-digit-span,ts-trial,5.0,34660.0,2.0,2.0,1.0,2771.0,1.0,NONE-DS,1.0,
3477,3,217_86855,20.0,Female,ts-trial-digit-span,ts-trial,7.0,40098.0,0.0,2.0,,1516.0,0.0,none,1.0,
3478,4,217_86855,20.0,Female,ts-trial-digit-span,ts-trial,9.0,44903.0,1.0,1.0,1.0,1674.0,0.0,none,1.0,
3479,5,217_86855,20.0,Female,ts-trial-digit-span,ts-trial,11.0,49794.0,2.0,2.0,1.0,1711.0,0.0,none,1.0,
3480,6,217_86855,20.0,Female,ts-trial-digit-span,ts-trial,13.0,54958.0,0.0,1.0,,2498.0,0.0,none,1.0,
3481,7,217_86855,20.0,Female,ts-trial-digit-span,ts-trial,15.0,60399.0,1.0,1.0,1.0,2324.0,0.0,none,1.0,
3482,8,217_86855,20.0,Female,ts-trial-digit-span,ts-trial,17.0,65428.0,1.0,2.0,,1369.0,0.0,none,1.0,
3483,9,217_86855,20.0,Female,ts-trial-digit-span,ts-trial,19.0,70639.0,0.0,2.0,,2645.0,0.0,none,1.0,
3484,10,217_86855,20.0,Female,ts-trial-digit-span,ts-trial,21.0,76355.0,1.0,1.0,1.0,697.0,0.0,none,1.0,
3898,2,232_72278,19.0,Female,ts-trial-digit-span,ts-trial,5.0,50223.0,,2.0,,,1.0,NONE-DS,1.0,
3899,3,232_72278,19.0,Female,ts-trial-digit-span,ts-trial,7.0,55888.0,2.0,1.0,,1779.0,0.0,none,1.0,
3900,4,232_72278,19.0,Female,ts-trial-digit-span,ts-trial,9.0,61642.0,2.0,2.0,1.0,1779.0,0.0,none,1.0,
3901,5,232_72278,19.0,Female,ts-trial-digit-span,ts-trial,11.0,67281.0,2.0,2.0,1.0,2910.0,0.0,none,1.0,
3902,6,232_72278,19.0,Female,ts-trial-digit-span,ts-trial,13.0,72170.0,0.0,0.0,1.0,2784.0,0.0,none,1.0,
3903,7,232_72278,19.0,Female,ts-trial-digit-span,ts-trial,15.0,77572.0,,0.0,,,0.0,none,1.0,
3904,8,232_72278,19.0,Female,ts-trial-digit-span,ts-trial,17.0,82733.0,1.0,0.0,,2899.0,0.0,none,1.0,
3905,9,232_72278,19.0,Female,ts-trial-digit-span,ts-trial,19.0,87892.0,2.0,1.0,,2737.0,0.0,none,1.0,
1827,38,236.19000000007873_6858,20.0,Female ,ts-trial-digit-span,ts-trial,69.0,270468.83,1.0,1.0,1.0,2947.8699999999953,1.0,SS-DS,1.0,
1828,39,236.19000000007873_6858,20.0,Female ,ts-trial-digit-span,ts-trial,71.0,276138.235,0.0,0.0,1.0,2429.5999999999767,0.0,none,1.0,
1829,40,236.19000000007873_6858,20.0,Female ,ts-trial-digit-span,ts-trial,73.0,281845.065,,2.0,,,0.0,none,1.0,
1830,41,236.19000000007873_6858,20.0,Female ,ts-trial-digit-span,ts-trial,75.0,287481.245,1.0,2.0,,1456.789999999979,0.0,none,1.0,
1831,42,236.19000000007873_6858,20.0,Female ,ts-trial-digit-span,ts-trial,77.0,292409.01,2.0,2.0,1.0,1773.5349999999744,0.0,none,1.0,
1832,43,236.19000000007873_6858,20.0,Female ,ts-trial-digit-span,ts-trial,79.0,298104.705,,1.0,,,0.0,none,1.0,
1833,44,236.19000000007873_6858,20.0,Female ,ts-trial-digit-span,ts-trial,81.0,302895.405,2.0,1.0,,2048.579999999958,0.0,none,1.0,
1834,45,236.19000000007873_6858,20.0,Female ,ts-trial-digit-span,ts-trial,83.0,308633.245,0.0,0.0,1.0,2252.5599999999977,0.0,none,1.0,
230,2,251.67000001238193_90175,20.0,Female,ts-trial-digit-span,ts-trial,5.0,90683.355,1.0,1.0,1.0,2487.415000000008,1.0,NONE-DS,1.0,
231,3,251.67000001238193_90175,20.0,Female,ts-trial-digit-span,ts-trial,7.0,95771.31,2.0,2.0,1.0,2514.8800000000047,0.0,none,1.0,
233,4,251.67000001238193_90175,20.0,Female,ts-trial-digit-span,ts-trial,9.0,100784.025,,0.0,,,0.0,none,1.0,
235,5,251.67000001238193_90175,20.0,Female,ts-trial-digit-span,ts-trial,11.0,106087.055,0.0,2.0,,1841.2050000000017,0.0,none,1.0,
237,6,251.67000001238193_90175,20.0,Female,ts-trial-digit-span,ts-trial,13.0,111273.875,2.0,1.0,,2732.800000000003,0.0,none,1.0,
238,7,251.67000001238193_90175,20.0,Female,ts-trial-digit-span,ts-trial,15.0,116466.365,1.0,2.0,,1930.9549999999872,0.0,none,1.0,
240,8,251.67000001238193_90175,20.0,Female,ts-trial-digit-span,ts-trial,17.0,122157.89,0.0,0.0,1.0,2790.8300000000017,0.0,none,1.0,
242,9,251.67000001238193_90175,20.0,Female,ts-trial-digit-span,ts-trial,19.0,127782.075,2.0,2.0,1.0,2233.0850000000064,0.0,none,1.0,
2419,2,268.8400000006368_67932,20.0,female,ts-trial-digit-span,ts-trial,5.0,19490.615,,1.0,,,1.0,NONE-DS,1.0,
2420,3,268.8400000006368_67932,20.0,female,ts-trial-digit-span,ts-trial,7.0,24922.235,,0.0,,,0.0,none,1.0,
2421,4,268.8400000006368_67932,20.0,female,ts-trial-digit-span,ts-trial,9.0,30239.005,2.0,2.0,1.0,1580.4249999999993,0.0,none,1.0,
2422,5,268.8400000006368_67932,20.0,female,ts-trial-digit-span,ts-trial,11.0,35098.37,0.0,1.0,,2513.645000000004,0.0,none,1.0,
2423,6,268.8400000006368_67932,20.0,female,ts-trial-digit-span,ts-trial,13.0,40410.37,0.0,0.0,1.0,1306.3349999999991,0.0,none,1.0,
2424,7,268.8400000006368_67932,20.0,female,ts-trial-digit-span,ts-trial,15.0,46076.775,1.0,1.0,1.0,2738.8699999999953,0.0,none,1.0,
8,9,283.00000000000006_59779,20.0,Female,ts-trial-digit-span,ts-trial,17.0,98195.0,2.0,2.0,1.0,1456.0,1.0,SR-DS,1.0,
9,10,283.00000000000006_59779,20.0,Female,ts-trial-digit-span,ts-trial,19.0,103382.0,0.0,0.0,1.0,1433.0,0.0,none,1.0,
10,11,283.00000000000006_59779,20.0,Female,ts-trial-digit-span,ts-trial,21.0,108627.0,0.0,0.0,1.0,1617.0,0.0,none,1.0,
11,12,283.00000000000006_59779,20.0,Female,ts-trial-digit-span,ts-trial,23.0,113506.0,2.0,2.0,1.0,2170.0,0.0,none,1.0,
12,13,283.00000000000006_59779,20.0,Female,ts-trial-digit-span,ts-trial,25.0,118931.0,1.0,1.0,1.0,2613.0,0.0,none,1.0,
13,14,283.00000000000006_59779,20.0,Female,ts-trial-digit-span,ts-trial,27.0,124238.0,2.0,2.0,1.0,2809.0,0.0,none,1.0,
14,15,283.00000000000006_59779,20.0,Female,ts-trial-digit-span,ts-trial,29.0,129185.0,2.0,2.0,1.0,1958.0,0.0,none,1.0,
2209,2,293.7149999997928_80595,20.0,Female,ts-trial-digit-span,ts-trial,5.0,48764.42,,2.0,,,1.0,NONE-DS,1.0,
2210,3,293.7149999997928_80595,20.0,Female,ts-trial-digit-span,ts-trial,7.0,54212.165,2.0,2.0,1.0,998.9300000000003,0.0,none,1.0,
2211,4,293.7149999997928_80595,20.0,Female,ts-trial-digit-span,ts-trial,9.0,59021.705,1.0,1.0,1.0,1382.4200000000055,0.0,none,1.0,
2212,5,293.7149999997928_80595,20.0,Female,ts-trial-digit-span,ts-trial,11.0,63926.11,2.0,2.0,1.0,1596.5799999999872,0.0,none,1.0,
2213,6,293.7149999997928_80595,20.0,Female,ts-trial-digit-span,ts-trial,13.0,69099.92,1.0,1.0,1.0,2281.25,0.0,none,1.0,
2214,7,293.7149999997928_80595,20.0,Female,ts-trial-digit-span,ts-trial,15.0,74550.49,1.0,1.0,1.0,1702.62999999999,0.0,none,1.0,
2215,8,293.7149999997928_80595,20.0,Female,ts-trial-digit-span,ts-trial,17.0,79585.09,,2.0,,,0.0,none,1.0,
2216,9,293.7149999997928_80595,20.0,Female,ts-trial-digit-span,ts-trial,19.0,84796.17,2.0,2.0,1.0,2141.800000000003,0.0,none,1.0,
2217,10,293.7149999997928_80595,20.0,Female,ts-trial-digit-span,ts-trial,21.0,90515.15,1.0,1.0,1.0,2773.6100000000006,0.0,none,1.0,
4074,2,316_38703,21.0,Female,ts-trial-digit-span,ts-trial,5.0,45159.0,,0.0,,,1.0,NONE-DS,1.0,
4075,3,316_38703,21.0,Female,ts-trial-digit-span,ts-trial,7.0,50742.0,0.0,0.0,1.0,1860.0,0.0,none,1.0,
4076,4,316_38703,21.0,Female,ts-trial-digit-span,ts-trial,9.0,56061.0,2.0,2.0,1.0,1766.0,0.0,none,1.0,
4077,5,316_38703,21.0,Female,ts-trial-digit-span,ts-trial,11.0,61171.0,1.0,2.0,,1242.0,0.0,none,1.0,
4078,6,316_38703,21.0,Female,ts-trial-digit-span,ts-trial,13.0,65943.0,0.0,1.0,,1114.0,0.0,none,1.0,
