,index_raw,participant_id,participant_age,participant_gender,type,time_start,time_response_submitted,participant_ans,target_ans
0,1,aan_pilot,20,f,TrialDigitSpan,293.4720688,2.0772506999999996,1,1
9,2,aan_pilot,20,f,TrialDigitSpan,308.16556529999997,1.9844983,1,1
10,3,aan_pilot,20,f,TrialDigitSpan,322.0134034,2.5385294,0,0
11,4,aan_pilot,20,f,TrialDigitSpan,337.404815,2.1690099999999997,2,2
12,5,aan_pilot,20,f,TrialDigitSpan,351.841877,1.9106267,0,1
13,6,aan_pilot,20,f,TrialDigitSpan,365.787921,2.6292982000000005,0,0
14,7,aan_pilot,20,f,TrialDigitSpan,381.7155085,1.4870103000000001,1,1
15,8,aan_pilot,20,f,TrialDigitSpan,395.46315,1.9472983,1,1
16,9,aan_pilot,20,f,TrialDigitSpan,409.2613709,2.2478737,0,0
17,10,aan_pilot,20,f,TrialDigitSpan,423.69995880000005,,-1,2
18,11,aan_pilot,20,f,TrialDigitSpan,433.9468148,2.2027388,1,0
19,12,aan_pilot,20,f,TrialDigitSpan,448.90916749999997,1.5792654,1,1
20,13,aan_pilot,20,f,TrialDigitSpan,461.97034339999993,1.4433267,1,1
21,14,aan_pilot,20,f,TrialDigitSpan,475.56273889999994,,-1,2
22,15,aan_pilot,20,f,TrialDigitSpan,485.8611963,2.4859862999999995,0,0
23,16,aan_pilot,20,f,TrialDigitSpan,2049.479623,2.286066,2,2
153,17,aan_pilot,20,f,TrialDigitSpan,2063.823944,2.24093,1,1
154,18,aan_pilot,20,f,TrialDigitSpan,2078.575995,2.23746,1,1
155,19,aan_pilot,20,f,TrialDigitSpan,2093.231315,2.830675,0,0
156,20,aan_pilot,20,f,TrialDigitSpan,2109.253629,,-1,2
157,21,aan_pilot,20,f,TrialDigitSpan,2118.869588,1.116002,2,2
158,22,aan_pilot,20,f,TrialDigitSpan,2131.020627,2.7091529999999997,0,0
159,23,aan_pilot,20,f,TrialDigitSpan,2146.72298,2.739906,0,0
160,24,aan_pilot,20,f,TrialDigitSpan,2162.364353,1.7444330000000001,0,0
161,25,aan_pilot,20,f,TrialDigitSpan,2176.032142,1.6452330000000002,2,2
162,26,aan_pilot,20,f,TrialDigitSpan,2189.45788,2.295987,0,0
163,27,aan_pilot,20,f,TrialDigitSpan,2204.140984,2.027152,1,1
164,28,aan_pilot,20,f,TrialDigitSpan,2218.316178,1.876866,2,2
165,29,aan_pilot,20,f,TrialDigitSpan,2232.53205,2.359475,1,1
166,30,aan_pilot,20,f,TrialDigitSpan,2247.19829,2.395184,2,2
167,31,aan_pilot,20,f,TrialDigitSpan,2262.4646940000002,2.4507380000000003,0,0
168,32,aan_pilot,20,f,TrialDigitSpan,2277.4191339999998,2.1159369999999997,0,0
169,33,aan_pilot,20,f,TrialDigitSpan,2291.6438940000003,2.7319720000000003,0,0
170,34,aan_pilot,20,f,TrialDigitSpan,2598.399864,2.380306,2,2
300,35,aan_pilot,20,f,TrialDigitSpan,2612.97334,1.5713290000000002,0,0
301,36,aan_pilot,20,f,TrialDigitSpan,2626.837057,1.930434,2,2
302,37,aan_pilot,20,f,TrialDigitSpan,2640.637244,1.9854889999999998,0,0
