,type,occurence,index_raw,participant_id,participant_age,participant_gender,time_start,participant_ans,target_ans,response_time,changed_shifted,switch_type,first_switch_rt,accuracy
0,TrialDigitSpan,0,19,aan_pilot,20,f,293.4720688,1,1,2.0772506999999996,,none,,1
1,TrialDigitSpan,0,16,dan_pilot,24,m,214.0881109,1,1,1.522722,,none,,1
2,TrialDigitSpan,0,20,gus_pilot,26,m,285.7335784,2,2,2.5276183999999997,,none,,1
3,TrialDigitSpan,0,18,hazel_pilot,25,f,268.8197281,1,1,2.4636337000000004,,none,,1
4,TrialDigitSpan,0,21,henry_pilot,26,m,321.7321868,1,1,2.2444014,,none,,1
5,TrialDigitSpan,0,36,jess_pilot,21,f,524.0893991,2,2,1.6174538,,none,,1
6,TrialDigitSpan,0,21,pete_pilot,31,m,291.86726160000006,1,1,1.6591205000000002,,none,,1
7,TrialDigitSpan,0,39,rahul_pilot,20,m,557.2510874,-1,0,,,none,,0
8,TrialDigitSpan,0,1,rahul_testing1,20,m,4.050344944,0,2,2.62979889,,none,2.0772506999999996,0
9,TrialDigitSpan,1,20,aan_pilot,20,f,308.16556529999997,1,1,1.9844983,1.0,none,,1
10,TrialDigitSpan,1,21,aan_pilot,20,f,322.0134034,0,0,2.5385294,,none,,1
11,TrialDigitSpan,1,22,aan_pilot,20,f,337.404815,2,2,2.1690099999999997,,none,,1
12,TrialDigitSpan,1,23,aan_pilot,20,f,351.841877,0,1,1.9106267,,none,,0
13,TrialDigitSpan,1,24,aan_pilot,20,f,365.787921,0,0,2.6292982000000005,,none,,1
14,TrialDigitSpan,1,25,aan_pilot,20,f,381.7155085,1,1,1.4870103000000001,,none,,1
15,TrialDigitSpan,1,26,aan_pilot,20,f,395.46315,1,1,1.9472983,,none,,1
16,TrialDigitSpan,1,27,aan_pilot,20,f,409.2613709,0,0,2.2478737,,none,,1
17,TrialDigitSpan,1,28,aan_pilot,20,f,423.69995880000005,-1,2,,,none,,0
18,TrialDigitSpan,1,29,aan_pilot,20,f,433.9468148,1,0,2.2027388,,none,,0
19,TrialDigitSpan,1,30,aan_pilot,20,f,448.90916749999997,1,1,1.5792654,,none,,1
20,TrialDigitSpan,1,31,aan_pilot,20,f,461.97034339999993,1,1,1.4433267,,none,,1
21,TrialDigitSpan,1,32,aan_pilot,20,f,475.56273889999994,-1,2,,,none,,0
22,TrialDigitSpan,1,33,aan_pilot,20,f,485.8611963,0,0,2.4859862999999995,,none,,1
23,TrialDigitSpan,1,124,aan_pilot,20,f,2049.479623,2,2,2.286066,,none,,1
24,TrialDigitSpan,1,17,dan_pilot,24,m,227.3571451,1,1,1.9616813999999998,1.0,none,,1
25,TrialDigitSpan,1,18,dan_pilot,24,m,241.6131601,2,2,1.2499214,,none,,1
