,index_raw,auto_participant_id,participant_age,participant_gender,type,trial_type,trial_index,time_start,participant_ans,target_ans,accuracy,response_time,changed_shifted,switch_type,occurence
3946,2,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,5,63346.985,,1,,,1,NONE-DS,1
3947,3,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,7,68356.895,,0,,,0,NONE-DS,1
3948,4,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,9,73194.335,1,1,1,1434.455,0,NONE-DS,1
3949,5,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,11,78817.56,2,1,,1577.355,0,NONE-DS,1
3950,6,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,13,83975.61,,2,,,0,NONE-DS,1
3951,7,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,15,89213.88,2,2,1,2602.945,0,NONE-DS,1
3952,8,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,17,94223.735,2,2,1,1704.4,0,NONE-DS,1
3953,9,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,19,99905.46,,0,,,0,NONE-DS,1
3954,10,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,21,105496.805,2,2,1,1519.88,0,NONE-DS,1
3964,20,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,37,163605.755,,2,,,1,SS-DS,2
3965,21,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,39,169113.5,1,1,1,2023.08,0,SS-DS,2
3966,22,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,41,174174.04,2,2,1,1350.365,0,SS-DS,2
3967,23,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,43,179127.35,1,1,1,2084.305,0,SS-DS,2
3968,24,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,45,184866.72,2,1,,2886.13,0,SS-DS,2
3969,25,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,47,190167.475,,2,,,0,SS-DS,2
3970,26,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,49,195532.78,,2,,,0,SS-DS,2
3981,37,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,67,258012.28,2,1,,1764.03,1,SR-DS,3
3982,38,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,69,262916.785,1,1,1,2059.85,0,SR-DS,3
3983,39,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,71,268303.655,0,0,1,2628.095,0,SR-DS,3
3984,40,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,73,273539.64,,1,,,0,SR-DS,3
3985,41,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,75,278801.545,0,0,1,2286.045,0,SR-DS,3
3986,42,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,77,284000.61,1,1,1,2357.1,0,SR-DS,3
3987,43,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,79,288835.645,1,0,,2459.62,0,SR-DS,3
3988,44,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,81,294229.065,1,1,1,2904.365,0,SR-DS,3
4026,82,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,147,522480.905,1,1,1,2009.095,1,SS-DS,4
4027,83,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,149,527484.805,1,0,,2736.58,0,SS-DS,4
4028,84,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,151,532281.665,1,2,,2172.81,0,SS-DS,4
4029,85,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,153,537928.53,,1,,,0,SS-DS,4
4030,86,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,155,542891.245,1,0,,2500.265,0,SS-DS,4
4031,87,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,157,548571.115,2,2,1,2854.105,0,SS-DS,4
4032,88,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,159,553926.21,,0,,,0,SS-DS,4
4033,89,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,161,559176.59,,1,,,0,SS-DS,4
4043,99,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,177,617643.295,,0,,,1,SS-DS,5
4044,100,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,179,622736.565,,2,,,0,SS-DS,5
4045,101,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,181,627783.665,,0,,,0,SS-DS,5
4046,102,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,183,632737.915,1,1,1,2655.99,0,SS-DS,5
4047,103,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,185,637938.695,,2,,,0,SS-DS,5
4048,104,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,187,643693.17,0,0,1,1741.96,0,SS-DS,5
4049,105,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,189,649093.52,2,2,1,1746.82,0,SS-DS,5
4063,119,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,210,718748.34,,0,,,1,SR-DS,6
4064,120,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,212,723899.225,2,2,1,1890.51,0,SR-DS,6
4065,121,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,214,728933.83,2,2,1,2749.085,0,SR-DS,6
4066,122,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,216,733950.59,1,1,1,2717.78,0,SR-DS,6
4067,123,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,218,739256.295,1,1,1,2580.85,0,SR-DS,6
4068,124,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,220,744551.1,1,0,,2686.97,0,SR-DS,6
4069,125,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,222,750000.185,,1,,,0,SR-DS,6
4106,162,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,286,971288.345,,2,,,1,SR-DS,7
4107,163,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,288,976206.695,,0,,,0,SR-DS,7
4108,164,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,290,981150.19,0,1,,2513.03,0,SR-DS,7
4109,165,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,292,986554.155,1,1,1,1639.575,0,SR-DS,7
4110,166,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,294,991667.995,,0,,,0,SR-DS,7
4111,167,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,296,996932.8,,1,,,0,SR-DS,7
4112,168,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,298,1002089.06,1,0,,2078.855,0,SR-DS,7
4138,194,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,342,1155956.815,0,0,1,1571.01,1,SS-DS,8
4139,195,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,344,1161558.37,1,1,1,2876.025,0,SS-DS,8
4140,196,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,346,1166588.505,0,0,1,2673.775,0,SS-DS,8
4141,197,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,348,1172106.295,2,2,1,1863.28,0,SS-DS,8
4142,198,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,350,1177817.595,,0,,,0,SS-DS,8
4143,199,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,352,1183029.37,,1,,,0,SS-DS,8
4144,200,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,354,1187982.49,2,2,1,2694.135,0,SS-DS,8
4154,210,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,370,1245254.455,1,2,,1073.94,1,SR-DS,9
4155,211,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,372,1250406.54,,0,,,0,SR-DS,9
4156,212,1013.1699999910779_57485,19,Female,ts-trial-digit-span,ts-trial,374,1255260.305,0,0,1,2536.745,0,SR-DS,9
3972,28,1013.1699999910779_57485,19,Female,ts-trial-spatial-rotation,ts-trial,51,204197.96,0,0,1,2092.275,1,DS-SR,1
3973,29,1013.1699999910779_57485,19,Female,ts-trial-spatial-rotation,ts-trial,53,211390.965,,2,,,0,DS-SR,1
3974,30,1013.1699999910779_57485,19,Female,ts-trial-spatial-rotation,ts-trial,55,217774.27,1,1,1,1933.59,0,DS-SR,1
3975,31,1013.1699999910779_57485,19,Female,ts-trial-spatial-rotation,ts-trial,57,224162.81,0,2,,2283.225,0,DS-SR,1
3976,32,1013.1699999910779_57485,19,Female,ts-trial-spatial-rotation,ts-trial,59,231342.69,1,1,1,1474.705,0,DS-SR,1
3977,33,1013.1699999910779_57485,19,Female,ts-trial-spatial-rotation,ts-trial,61,237854.765,0,1,,2838.19,0,DS-SR,1
3978,34,1013.1699999910779_57485,19,Female,ts-trial-spatial-rotation,ts-trial,63,244521.355,1,1,1,2382.085,0,DS-SR,1
3979,35,1013.1699999910779_57485,19,Female,ts-trial-spatial-rotation,ts-trial,65,251346.85,,2,,,0,DS-SR,1
3990,46,1013.1699999910779_57485,19,Female,ts-trial-spatial-rotation,ts-trial,83,302898.19,,0,,,1,DS-SR,2
3991,47,1013.1699999910779_57485,19,Female,ts-trial-spatial-rotation,ts-trial,85,309332.155,2,2,1,1586.54,0,DS-SR,2
3992,48,1013.1699999910779_57485,19,Female,ts-trial-spatial-rotation,ts-trial,87,316105.46,1,0,,2083.95,0,DS-SR,2
