,index_raw,index,participant_id,block,type,target_ans,participant_ans,time_start,time_response_enabled,time_response_submitted,time_block,response_time,accuracy,changed,occurence
0,0,0,adrian_pilot,1,TrialDigitSpan,1,1,28.98745155,35.39344525,37.21047282,-4174.449133,1.81702757,1,1,1
1,1,1,adrian_pilot,1,TrialDigitSpan,1,1,42.44438028,48.83825397,50.13350725,13.45692873,1.29525328,1,0,1
2,2,2,adrian_pilot,1,TrialDigitSpan,1,1,54.95972276,61.33203197,62.97134972,12.51534248,1.63931775,1,0,1
3,3,3,adrian_pilot,1,TrialDigitSpan,1,1,68.83174372,75.24154449,76.47249961,13.87202096,1.23095512,1,0,1
4,4,4,adrian_pilot,1,TrialDigitSpan,2,2,81.07995701,87.44596386,88.76574659,12.24821329,1.31978273,1,0,1
5,5,5,adrian_pilot,1,TrialDigitSpan,0,0,94.24106169,100.64623329999999,102.16074090000001,13.16110468,1.5145076000000002,1,0,1
6,6,6,adrian_pilot,1,TrialDigitSpan,0,0,107.60257390000001,114.00529840000002,115.7550919,13.36151221,1.7497935000000002,1,0,1
7,7,7,adrian_pilot,1,TrialDigitSpan,1,1,121.74666189999999,128.1622305,129.74681809999998,14.144088,1.5845876,1,0,1
8,8,8,adrian_pilot,1,TrialDigitSpan,0,0,261.1266501,267.5470364,268.94637539999997,13.4239705,1.3993389999999999,1,1,2
9,9,9,adrian_pilot,1,TrialDigitSpan,0,0,274.50424289999995,280.9337118,282.5574503,13.377592800000002,1.6237385,1,0,2
10,10,10,adrian_pilot,1,TrialDigitSpan,1,1,288.021991,294.39824869999995,295.99294110000005,13.5177481,1.5946924,1,0,2
11,11,11,adrian_pilot,1,TrialDigitSpan,1,1,301.7424436,308.1326339,309.8152649,13.720452599999998,1.6826310000000002,1,0,2
12,12,12,adrian_pilot,1,TrialDigitSpan,1,1,314.8861253,321.3178165,322.62554480000006,13.143681699999998,1.3077283000000002,1,0,2
13,13,13,adrian_pilot,1,TrialDigitSpan,0,0,328.21498629999996,334.61310269999996,336.4735537,13.328860999999998,1.8604509999999999,1,0,2
14,14,14,adrian_pilot,1,TrialDigitSpan,1,1,342.08826469999997,348.47704080000005,350.2997265,13.873278400000002,1.8226857,1,0,2
15,15,15,adrian_pilot,1,TrialDigitSpan,1,1,355.56479069999995,361.95960069999995,363.1423368,13.476526000000002,1.1827361,1,0,2
16,16,16,adrian_pilot,1,TrialDigitSpan,2,2,367.7765758,374.159657,375.966635,12.2117851,1.806978,1,0,2
17,17,17,adrian_pilot,1,TrialDigitSpan,2,2,930.5030069000001,936.886636,937.9775221000001,18.6666007,1.0908861,1,1,3
18,18,18,adrian_pilot,1,TrialDigitSpan,2,2,943.2695911000001,949.674655,951.4314044,12.766584199999999,1.7567494,1,0,3
19,19,19,adrian_pilot,1,TrialDigitSpan,2,2,957.3707663999999,963.8409467,965.1149527999999,14.1011753,1.2740061000000003,1,0,3
20,20,20,adrian_pilot,1,TrialDigitSpan,0,0,970.4121652000001,976.7830316999999,978.8383317,13.041398800000001,2.0553,1,0,3
21,21,21,adrian_pilot,1,TrialDigitSpan,1,1,984.4645755000001,990.8783042000001,993.3963377,14.0524103,2.5180335,1,0,3
22,22,22,adrian_pilot,1,TrialDigitSpan,0,0,999.2698567,1005.656718,1006.9801869999999,14.805281200000001,1.323469,1,0,3
23,23,23,adrian_pilot,1,TrialDigitSpan,0,0,1011.88366,1018.290056,1019.842576,12.6138033,1.5525200000000001,1,0,3
24,24,24,adrian_pilot,1,TrialDigitSpan,0,0,1025.005149,1031.396734,1033.191286,13.121489000000002,1.7945520000000001,1,0,3
25,25,0,adrian_pilot,1,TrialSpatialRotation,0,1,135.100368,141.53846140000002,144.18382169999998,13.353706099999998,2.6453603,0,1,1
26,26,1,adrian_pilot,1,TrialSpatialRotation,2,0,151.168648,157.6356592,159.1640563,16.068279999999998,1.5283971,0,0,1
27,27,2,adrian_pilot,1,TrialSpatialRotation,2,2,164.3471198,170.79363080000002,172.6812871,13.178471799999999,1.8876563000000002,1,0,1
28,28,3,adrian_pilot,1,TrialSpatialRotation,0,0,178.46441480000001,184.90637560000002,186.73857519999999,14.117295,1.8321995999999998,1,0,1
29,29,4,adrian_pilot,1,TrialSpatialRotation,2,2,192.87035269999998,199.32527109999998,200.9922955,14.405937900000001,1.6670243999999999,1,0,1
30,30,5,adrian_pilot,1,TrialSpatialRotation,0,0,206.2429314,212.68668219999998,214.4210937,13.372578699999998,1.7344115000000002,1,0,1
31,31,6,adrian_pilot,1,TrialSpatialRotation,2,2,219.63670519999997,226.10374590000004,228.1115797,13.393773800000002,2.0078338,1,0,1
32,32,7,adrian_pilot,1,TrialSpatialRotation,2,2,233.66148419999996,240.11809680000005,241.9650457,14.024779,1.8469488999999997,1,0,1
33,33,8,adrian_pilot,1,TrialSpatialRotation,2,2,247.7026796,254.16735699999998,255.7532969,14.0411954,1.5859398999999998,1,0,1
34,34,9,adrian_pilot,1,TrialSpatialRotation,2,2,479.01690460000003,485.4261098,487.41178039999994,17.560561399999997,1.9856706000000002,1,1,2
35,35,10,adrian_pilot,1,TrialSpatialRotation,0,0,493.5794444,500.1069512,501.6590171,14.562539800000001,1.5520658999999999,1,0,2
36,36,11,adrian_pilot,1,TrialSpatialRotation,0,2,506.5868478,513.0108955000001,515.2204013,13.0074034,2.2095057999999996,0,0,2
37,37,12,adrian_pilot,1,TrialSpatialRotation,2,2,521.2584252,527.7241343999999,529.6831698,14.6715774,1.9590353999999999,1,0,2
38,38,13,adrian_pilot,1,TrialSpatialRotation,1,0,535.7127821,542.1583252,544.2174501000001,14.454356900000002,2.0591249,0,0,2
39,39,14,adrian_pilot,1,TrialSpatialRotation,0,2,550.636482,557.1049051,559.0195501000001,14.9236999,1.9146450000000002,0,0,2
40,40,15,adrian_pilot,1,TrialSpatialRotation,1,0,564.8016974999999,571.2802322000001,573.2680793,14.1652155,1.9878471000000002,0,0,2
41,41,16,adrian_pilot,1,TrialSpatialRotation,0,0,699.7932782,706.2621355,708.2347851,18.589935999999998,1.9726496,1,1,3
42,42,17,adrian_pilot,1,TrialSpatialRotation,1,1,714.412637,720.8216083,722.5831598999999,14.619358800000002,1.7615516,1,0,3
43,43,18,adrian_pilot,1,TrialSpatialRotation,1,0,728.2522297,734.7333570000001,736.3296564,13.839592699999999,1.5962994,0,0,3
44,44,19,adrian_pilot,1,TrialSpatialRotation,0,0,741.8279187999999,748.3185205,750.2738557,13.5756891,1.9553352,1,0,3
45,45,20,adrian_pilot,1,TrialSpatialRotation,1,1,756.3552027000001,762.8160076,764.4595482000001,14.5272839,1.6435406000000004,1,0,3
46,46,21,adrian_pilot,1,TrialSpatialRotation,2,2,770.0085335,776.4632874,778.4605587,13.653330800000003,1.9972713,1,0,3
47,47,22,adrian_pilot,1,TrialSpatialRotation,2,2,784.617712,791.0878584,793.1276498,14.6091785,2.0397914,1,0,3
48,48,23,adrian_pilot,1,TrialSpatialRotation,0,1,799.4900827,805.9974162999999,808.4519966,14.8723707,2.4545803,0,0,3
49,49,24,adrian_pilot,1,TrialSpatialRotation,1,1,814.9686333999999,821.4269845,823.2792037,15.478550699999998,1.8522192,1,0,3
50,50,0,adrian_pilot,1,TrialSpatialSpan,2,2,384.9830487,391.3887832,394.2730076,17.206472899999998,2.8842244,1,1,1
51,51,1,adrian_pilot,1,TrialSpatialSpan,1,2,400.65459780000003,407.0434639,409.6681638,15.671549100000002,2.6246999,0,0,1
52,52,2,adrian_pilot,1,TrialSpatialSpan,1,-1,415.769479,422.2113068,-1.0,15.114881200000001,3.0,0,0,1
53,53,3,adrian_pilot,1,TrialSpatialSpan,0,-1,426.18014810000005,432.5946882,-1.0,10.4106691,3.0,0,0,1
54,54,4,adrian_pilot,1,TrialSpatialSpan,1,1,436.3055127,442.7488902,445.24864169999995,10.1253646,2.4997515,1,0,1
55,55,5,adrian_pilot,1,TrialSpatialSpan,0,-1,451.16326380000004,457.5550892,-1.0,14.8577511,3.0,0,0,1
56,56,6,adrian_pilot,1,TrialSpatialSpan,0,0,461.4563432,467.84112360000006,469.7999563,10.293079400000002,1.9588327,1,0,1
57,57,7,adrian_pilot,1,TrialSpatialSpan,0,0,582.5150735000001,588.9259779,591.3497342999999,17.713376,2.4237564,1,1,2
58,58,8,adrian_pilot,1,TrialSpatialSpan,2,2,597.6405277000001,604.0822504,605.9824321000001,15.125454199999998,1.9001816999999999,1,0,2
59,59,9,adrian_pilot,1,TrialSpatialSpan,0,0,611.3655589,617.7768836,619.4197009,13.7250312,1.6428173,1,0,2
