index_raw,index,participant_id,block,type,target_ans,participant_ans,time_start,time_response_enabled,time_response_submitted,time_block,response_time,accuracy,changed,occurence
0,0,adrian_pilot,1,TrialDigitSpan,1,1,28.98745155,35.39344525,37.21047282,-4174.449133,1.81702757,1,1,1
1,1,adrian_pilot,1,TrialDigitSpan,1,1,42.44438028,48.83825397,50.13350725,13.45692873,1.29525328,1,0,1
2,2,adrian_pilot,1,TrialDigitSpan,1,1,54.95972276,61.33203197,62.97134972,12.51534248,1.63931775,1,0,1
3,3,adrian_pilot,1,TrialDigitSpan,1,1,68.83174372,75.24154449,76.47249961,13.87202096,1.23095512,1,0,1
4,4,adrian_pilot,1,TrialDigitSpan,2,2,81.07995701,87.44596386,88.76574659,12.24821329,1.31978273,1,0,1
5,5,adrian_pilot,1,TrialDigitSpan,0,0,94.24106169,100.6462333,102.1607409,13.16110468,1.5145076,1,0,1
6,6,adrian_pilot,1,TrialDigitSpan,0,0,107.6025739,114.0052984,115.7550919,13.36151221,1.7497935,1,0,1
7,7,adrian_pilot,1,TrialDigitSpan,1,1,121.7466619,128.1622305,129.7468181,14.144088,1.5845876,1,0,1
8,8,adrian_pilot,1,TrialDigitSpan,0,0,261.1266501,267.5470364,268.9463754,13.4239705,1.399339,1,1,2
9,9,adrian_pilot,1,TrialDigitSpan,0,0,274.5042429,280.9337118,282.5574503,13.3775928,1.6237385,1,0,2
10,10,adrian_pilot,1,TrialDigitSpan,1,1,288.021991,294.3982487,295.9929411,13.5177481,1.5946924,1,0,2
11,11,adrian_pilot,1,TrialDigitSpan,1,1,301.7424436,308.1326339,309.8152649,13.7204526,1.682631,1,0,2
12,12,adrian_pilot,1,TrialDigitSpan,1,1,314.8861253,321.3178165,322.6255448,13.1436817,1.3077283,1,0,2
13,13,adrian_pilot,1,TrialDigitSpan,0,0,328.2149863,334.6131027,336.4735537,13.328861,1.860451,1,0,2
14,14,adrian_pilot,1,TrialDigitSpan,1,1,342.0882647,348.4770408,350.2997265,13.8732784,1.8226857,1,0,2
15,15,adrian_pilot,1,TrialDigitSpan,1,1,355.5647907,361.9596007,363.1423368,13.476526,1.1827361,1,0,2
16,16,adrian_pilot,1,TrialDigitSpan,2,2,367.7765758,374.159657,375.966635,12.2117851,1.806978,1,0,2
17,17,adrian_pilot,1,TrialDigitSpan,2,2,930.5030069,936.886636,937.9775221,18.6666007,1.0908861,1,1,3
18,18,adrian_pilot,1,TrialDigitSpan,2,2,943.2695911,949.674655,951.4314044,12.7665842,1.7567494,1,0,3
