auto_participant_id,participant_id,participant_age,participant_gender,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,blueprint_id,check_times,responses,start_time,end_time,stimulus_on,stimulus_off,response_enabled_time,response_time,response_answer,answer_index,response_correct,trial_task_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-info-card,4,235936,0.0-4.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,236160,236660,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,5,242094,0.0-5.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,236662,"[237164,237664,238165,238665,239162,239663]",239817,242302,0,1,,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,7,248379,0.0-7.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,242948,"[243450,243950,244452,244950,245450,245949]",246101,NULL,NULL,2,NULL,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,9,255360,0.0-9.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,249931,"[250432,250933,251435,251935,252434,252932]",253083,255273,0,0,1,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,11,261699,0.0-11.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,256267,"[256768,257269,257768,258272,258768,259269]",259420,261573,1,1,1,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,13,268549,0.0-13.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,263118,"[263620,264120,264620,265120,265619,266121]",266272,269010,1,1,1,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,15,275670,0.0-15.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,270241,"[270744,271243,271744,272245,272742,273243]",273392,276098,1,2,,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,17,282633,0.0-17.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,277204,"[277705,278206,278706,279209,279705,280204]",280355,NULL,NULL,2,NULL,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-info-card,18,286636,0.0-18.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,283360,287363,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,19,292793,0.0-19.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,287364,"[287865,288365,288869,289366,289866,290365]",290515,292570,2,2,1,ts-trial-spatial-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,21,300049,0.0-21.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,294619,"[295126,295627,296123,296622,297120,297622]",297777,300287,2,2,1,ts-trial-spatial-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,23,306828,0.0-23.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,301390,"[301902,302401,302903,303404,303901,304391]",304554,306767,0,0,1,ts-trial-spatial-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,25,314025,0.0-25.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,308595,"[309103,309599,310102,310599,311100,311598]",311750,313990,2,2,1,ts-trial-spatial-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,27,320884,0.0-27.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,315447,"[315954,316448,316948,317450,317948,318452]",318613,321123,2,2,1,ts-trial-spatial-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,29,327413,0.0-29.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,321978,"[322488,322982,323480,323978,324479,324981]",325140,328041,2,1,,ts-trial-spatial-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,31,333869,0.0-31.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,328438,"[328941,329440,329939,330442,330941,331440]",331594,NULL,NULL,0,NULL,ts-trial-spatial-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,33,340210,0.0-33.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,334782,"[335289,335786,336291,336785,337286,337785]",337938,340912,1,2,,ts-trial-spatial-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
