write_time,experiment_name,experiment_version,participant_id,participant_session,participant_age,participant_gender,trial_py_version,type,target_ans,participant_ans,time_start,time_stimulus_start,time_stimulus_end,time_response_enabled,time_response_submitted,time_response_disabled,time_trial_logged
2020-03-26T17:35:53.068416,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialRotation,0,0,28.79502106,28.79502106,35.02835464,35.27569485,37.35812807,42.64998221,42.64998221
2020-03-26T17:36:09.219238,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialRotation,1,2,43.42592978,43.42592978,49.63829827,49.88962626,52.74898458,58.80080438,58.80080438
2020-03-26T17:36:25.455832,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialRotation,2,2,59.81808686,59.81808686,66.04244518,66.29178023,69.05838227,75.03739882,75.03739882
2020-03-26T17:36:35.089080,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialRotation,0,-1,75.19099426,75.19099426,81.40637302,81.65670395,-1,84.67064643,84.67064643
2020-03-26T17:36:49.685063,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialRotation,2,2,85.12444901,85.12444901,91.34281015,91.60111928,93.83315206,99.26662946,99.26662946
2020-03-26T17:37:05.550647,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialRotation,2,2,100.0954142,100.0954142,106.3058095,106.5601296,109.2489429,115.1322138,115.1322138
2020-03-26T17:37:17.156623,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialDigitSpan,0,0,115.6717768,115.6717768,120.3303201,120.5856354,122.0656788,126.7381895,126.7381895
2020-03-26T17:37:30.163849,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialDigitSpan,0,0,127.5510168,127.5510168,132.2055991,132.4618869,134.5014346,139.7454159,139.7454159
2020-03-26T17:37:41.487579,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialDigitSpan,0,0,139.9668262,139.9668262,144.6293592,144.8776953,146.3677137,151.0691454,151.0691454
2020-03-26T17:37:55.550982,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialDigitSpan,2,2,151.4790521,151.4790521,156.1346023,156.3909175,159.162508,165.1325483,165.1325483
2020-03-26T17:38:07.726434,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialDigitSpan,1,1,165.8905258,165.8905258,170.5450797,170.7914202,172.4440026,177.3080003,177.3080003
2020-03-26T17:38:16.617664,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialDigitSpan,2,-1,178.2853887,178.2853887,182.9339619,183.1822975,-1,186.1992307,186.1992307
