block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,,,,,,,,,,,,
1,TrialDigitSpan,1,1.81702757,1,,1,TrialDigitSpan,2,1.399339,1,,1,TrialDigitSpan,3,1.0908861,1,,,,,,,,,,,,,
1,TrialDigitSpan,1,1.29525328,1,,1,TrialDigitSpan,2,1.6237385,1,,1,TrialDigitSpan,3,1.7567494,1,,,,,,,,,,,,,
1,TrialDigitSpan,1,1.63931775,1,,1,TrialDigitSpan,2,1.5946924,1,,1,TrialDigitSpan,3,1.2740061,1,,,,,,,,,,,,,
1,TrialDigitSpan,1,1.23095512,1,,1,TrialDigitSpan,2,1.682631,1,,1,TrialDigitSpan,3,2.0553,1,,,,,,,,,,,,,
1,TrialDigitSpan,1,1.31978273,1,,1,TrialDigitSpan,2,1.3077283,1,,1,TrialDigitSpan,3,2.5180335,1,,,,,,,,,,,,,
1,TrialDigitSpan,1,1.5145076,1,,1,TrialDigitSpan,2,1.860451,1,,1,TrialDigitSpan,3,1.323469,1,,,,,,,,,,,,,
1,TrialDigitSpan,1,1.7497935,1,,1,TrialDigitSpan,2,1.8226857,1,,1,TrialDigitSpan,3,1.55252,1,,,,,,,,,,,,,
1,TrialDigitSpan,1,1.5845876,1,,1,TrialDigitSpan,2,1.1827361,1,,1,TrialDigitSpan,3,1.794552,1,,,,,,,,,,,,,
,,,1.518903144,1,,1,TrialDigitSpan,2,1.806978,1,,,,,1.670689512,1,,,,,,,,,,,,,
,,,,,,,,,1.586775556,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,,block,type,occurence,response_time,accuracy,,,,,,,,,,,,
1,TrialSpatialRotation,1,2.6453603,0,,1,TrialSpatialRotation,2,1.9856706,1,,,1,TrialSpatialRotation,3,1.9726496,1,,,,,,,,,,,,
1,TrialSpatialRotation,1,1.5283971,0,,1,TrialSpatialRotation,2,1.5520659,1,,,1,TrialSpatialRotation,3,1.7615516,1,,,,,,,,,,,,
1,TrialSpatialRotation,1,1.8876563,1,,1,TrialSpatialRotation,2,2.2095058,0,,,1,TrialSpatialRotation,3,1.5962994,0,,,,,,,,,,,,
1,TrialSpatialRotation,1,1.8321996,1,,1,TrialSpatialRotation,2,1.9590354,1,,,1,TrialSpatialRotation,3,1.9553352,1,,,,,,,,,,,,
1,TrialSpatialRotation,1,1.6670244,1,,1,TrialSpatialRotation,2,2.0591249,0,,,1,TrialSpatialRotation,3,1.6435406,1,,,,,,,,,,,,
1,TrialSpatialRotation,1,1.7344115,1,,1,TrialSpatialRotation,2,1.914645,0,,,1,TrialSpatialRotation,3,1.9972713,1,,,,,,,,,,,,
1,TrialSpatialRotation,1,2.0078338,1,,1,TrialSpatialRotation,2,1.9878471,0,,,1,TrialSpatialRotation,3,2.0397914,1,,,,,,,,,,,,
1,TrialSpatialRotation,1,1.8469489,1,,,,,1.952556386,0.43,,,1,TrialSpatialRotation,3,2.4545803,0,,,,,,,,,,,,
1,TrialSpatialRotation,1,1.5859399,1,,,,,,,,,1,TrialSpatialRotation,3,1.8522192,1,,,,,,,,,,,,
,,,1.8595302,0.78,,,,,,,,,,,,1.92,0.78,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,,block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,,,,,
1,TrialSpatialSpan,1,2.8842244,1,,1,TrialSpatialSpan,2,2.4237564,1,,,1,TrialSpatialSpan,3,1.4620817,1,,1,TrialSpatialSpan,4,1.661429,1,,,,,,
1,TrialSpatialSpan,1,2.6246999,0,,1,TrialSpatialSpan,2,1.9001817,1,,,1,TrialSpatialSpan,3,3,0,,1,TrialSpatialSpan,4,2.085176,1,,,,,,
1,TrialSpatialSpan,1,3,0,,1,TrialSpatialSpan,2,1.6428173,1,,,1,TrialSpatialSpan,3,1.6531549,1,,1,TrialSpatialSpan,4,1.555998,1,,,,,,
1,TrialSpatialSpan,1,3,0,,1,TrialSpatialSpan,2,1.8377797,1,,,1,TrialSpatialSpan,3,2.7653258,1,,1,TrialSpatialSpan,4,2.118395,1,,,,,,
1,TrialSpatialSpan,1,2.4997515,1,,1,TrialSpatialSpan,2,1.2392118,0,,,1,TrialSpatialSpan,3,1.7528556,1,,,,,1.86,1.00,,,,,,
1,TrialSpatialSpan,1,3,0,,1,TrialSpatialSpan,2,2.3911631,1,,,1,TrialSpatialSpan,3,1.5663569,1,,,,,,,,,,,,
1,TrialSpatialSpan,1,1.9588327,1,,1,TrialSpatialSpan,2,1.6212687,1,,,1,TrialSpatialSpan,3,2.4777582,1,,,,,,,,,,,,
,,,2.71,0.43,,1,TrialSpatialSpan,2,2.4543111,1,,,,,,2.10,0.86,,,,,,,,,,,,
,,,,,,,,,1.94,0.88,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,type,occurence,response_time,accuracy,,block,type,occurence,response_time,accuracy,,,block,type,occurence,response_time,accuracy,,,,,,,,,,,,
2,TrialDigitSpan,1,1.263562,1,,2,TrialDigitSpan,2,2.479899,1,,,2,TrialDigitSpan,3,1.545439,1,,,,,,,,,,,,
2,TrialDigitSpan,1,2.109553,1,,2,TrialDigitSpan,2,2.004278,1,,,2,TrialDigitSpan,3,1.994419,1,,,,,,,,,,,,
2,TrialDigitSpan,1,1.34406,1,,2,TrialDigitSpan,2,1.85431,1,,,2,TrialDigitSpan,3,1.694741,1,,,,,,,,,,,,
2,TrialDigitSpan,1,1.691538,1,,2,TrialDigitSpan,2,2.089436,1,,,2,TrialDigitSpan,3,1.757346,1,,,,,,,,,,,,
2,TrialDigitSpan,1,1.768006,1,,2,TrialDigitSpan,2,2.483494,1,,,2,TrialDigitSpan,3,1.891556,1,,,,,,,,,,,,
2,TrialDigitSpan,1,1.077813,1,,2,TrialDigitSpan,2,1.176407,1,,,2,TrialDigitSpan,3,1.676374,1,,,,,,,,,,,,
,,,,,,2,TrialDigitSpan,2,2.008849,1,,,2,TrialDigitSpan,3,1.042163,1,,,,,,,,,,,,
,,,,,,2,TrialDigitSpan,2,1.154184,1,,,2,TrialDigitSpan,3,1.720685,1,,,,,,,,,,,,
