,participant_id,type,block,occurence,accuracy,index1,cumu_acc,percent_acc
0,adrian_pilot,TrialDigitSpan,1.0,1.0,1,0.0,1.0,100.0
1,adrian_pilot,TrialDigitSpan,1.0,1.0,1,1.0,2.0,100.0
2,adrian_pilot,TrialDigitSpan,1.0,1.0,1,2.0,3.0,100.0
3,adrian_pilot,TrialDigitSpan,1.0,1.0,1,3.0,4.0,100.0
4,adrian_pilot,TrialDigitSpan,1.0,1.0,1,4.0,5.0,100.0
5,adrian_pilot,TrialDigitSpan,1.0,1.0,1,5.0,6.0,100.0
6,adrian_pilot,TrialDigitSpan,1.0,1.0,1,6.0,7.0,100.0
7,adrian_pilot,TrialDigitSpan,1.0,1.0,1,7.0,8.0,100.0
0,adrian_pilot,TrialDigitSpan,1.0,2.0,1,0.0,1.0,100.0
1,adrian_pilot,TrialDigitSpan,1.0,2.0,1,1.0,2.0,100.0
2,adrian_pilot,TrialDigitSpan,1.0,2.0,1,2.0,3.0,100.0
3,adrian_pilot,TrialDigitSpan,1.0,2.0,1,3.0,4.0,100.0
4,adrian_pilot,TrialDigitSpan,1.0,2.0,1,4.0,5.0,100.0
5,adrian_pilot,TrialDigitSpan,1.0,2.0,1,5.0,6.0,100.0
6,adrian_pilot,TrialDigitSpan,1.0,2.0,1,6.0,7.0,100.0
7,adrian_pilot,TrialDigitSpan,1.0,2.0,1,7.0,8.0,100.0
8,adrian_pilot,TrialDigitSpan,1.0,2.0,1,8.0,9.0,100.0
0,adrian_pilot,TrialDigitSpan,1.0,3.0,1,0.0,1.0,100.0
1,adrian_pilot,TrialDigitSpan,1.0,3.0,1,1.0,2.0,100.0
2,adrian_pilot,TrialDigitSpan,1.0,3.0,1,2.0,3.0,100.0
3,adrian_pilot,TrialDigitSpan,1.0,3.0,1,3.0,4.0,100.0
4,adrian_pilot,TrialDigitSpan,1.0,3.0,1,4.0,5.0,100.0
5,adrian_pilot,TrialDigitSpan,1.0,3.0,1,5.0,6.0,100.0
6,adrian_pilot,TrialDigitSpan,1.0,3.0,1,6.0,7.0,100.0
7,adrian_pilot,TrialDigitSpan,1.0,3.0,1,7.0,8.0,100.0
0,adrian_pilot,TrialDigitSpan,2.0,1.0,1,0.0,1.0,100.0
1,adrian_pilot,TrialDigitSpan,2.0,1.0,1,1.0,2.0,100.0
2,adrian_pilot,TrialDigitSpan,2.0,1.0,1,2.0,3.0,100.0
3,adrian_pilot,TrialDigitSpan,2.0,1.0,1,3.0,4.0,100.0
4,adrian_pilot,TrialDigitSpan,2.0,1.0,1,4.0,5.0,100.0
5,adrian_pilot,TrialDigitSpan,2.0,1.0,1,5.0,6.0,100.0
0,adrian_pilot,TrialDigitSpan,2.0,2.0,1,0.0,1.0,100.0
1,adrian_pilot,TrialDigitSpan,2.0,2.0,1,1.0,2.0,100.0
2,adrian_pilot,TrialDigitSpan,2.0,2.0,1,2.0,3.0,100.0
